Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , COGS , Profit ,Date, Month Name ,Year
Small Business,Germany, Paseo , High ," $1,359.00 ", $10.00 , $300.00 ," $407,700.00 "," $339,750.00 "," $19,026.00 ",11-01-2014, November ,2014
Government,Germany, Paseo , High ," $1,531.00 ", $10.00 , $20.00 ," $30,620.00 "," $15,310.00 "," $11,635.60 ",12-01-2014, December ,2014
Government,Germany, VTT , High ," $1,531.00 ", $250.00 , $20.00 ," $30,620.00 "," $15,310.00 "," $11,635.60 ",12-01-2014, December ,2014
Government,Germany, Carretera , High , $442.00 , $3.00 , $20.00 ," $8,840.00 "," $4,420.00 "," $3,270.80 ",09-01-2013, September ,2013
Small Business,Germany, Paseo , High , $807.00 , $10.00 , $300.00 ," $242,100.00 "," $201,750.00 "," $8,877.00 ",01-01-2014, January ,2014
Government,Germany, Paseo , High ," $2,708.00 ", $10.00 , $20.00 ," $54,160.00 "," $27,080.00 "," $20,039.20 ",02-01-2014, February ,2014
Government,Germany, Paseo , High , $357.00 , $10.00 , $350.00 ," $124,950.00 "," $92,820.00 "," $15,886.50 ",11-01-2014, November ,2014
Channel Partners,Germany, Paseo , High ," $1,013.00 ", $10.00 , $12.00 ," $12,156.00 "," $3,039.00 "," $7,536.72 ",12-01-2014, December ,2014
Midmarket,Germany, Velo , High , $660.00 , $120.00 , $15.00 ," $9,900.00 "," $6,600.00 "," $2,013.00 ",09-01-2013, September ,2013
Channel Partners,Germany, Velo , High ," $1,013.00 ", $120.00 , $12.00 ," $12,156.00 "," $3,039.00 "," $7,536.72 ",12-01-2014, December ,2014
Channel Partners,Germany, Amarilla , High ," $1,770.00 ", $260.00 , $12.00 ," $21,240.00 "," $5,310.00 "," $13,168.80 ",12-01-2013, December ,2013
Government,Germany, Carretera , High , $280.00 , $3.00 , $7.00 ," $1,960.00 "," $1,400.00 ", $285.60 ,12-01-2014, December ,2014
Midmarket,Germany, Paseo , High , $278.00 , $10.00 , $15.00 ," $4,170.00 "," $2,780.00 ", $806.20 ,02-01-2014, February ,2014
Government,Germany, VTT , High , $280.00 , $250.00 , $7.00 ," $1,960.00 "," $1,400.00 ", $285.60 ,12-01-2014, December ,2014
Midmarket,Germany, Carretera , High ," $1,513.00 ", $3.00 , $15.00 ," $22,695.00 "," $15,130.00 "," $4,387.70 ",11-01-2014, November ,2014
Government,Germany, Montana , High ," $1,199.00 ", $5.00 , $350.00 ," $419,650.00 "," $311,740.00 "," $49,159.00 ",04-01-2014, April ,2014
Small Business,Germany, Velo , High ," $2,536.00 ", $120.00 , $300.00 ," $760,800.00 "," $634,000.00 "," $20,288.00 ",11-01-2013, November ,2013
Enterprise,Germany, Carretera , High ," $2,767.00 ", $3.00 , $125.00 ," $345,875.00 "," $332,040.00 "," $(38,046.25)",08-01-2014, August ,2014
Enterprise,Germany, Carretera , High ," $1,085.00 ", $3.00 , $125.00 ," $135,625.00 "," $130,200.00 "," $(14,918.75)",10-01-2014, October ,2014
Government,Germany, Paseo , High ," $1,158.00 ", $10.00 , $20.00 ," $23,160.00 "," $11,580.00 "," $8,106.00 ",03-01-2014, March ,2014
Enterprise,Germany, Paseo , High ," $1,085.00 ", $10.00 , $125.00 ," $135,625.00 "," $130,200.00 "," $(14,918.75)",10-01-2014, October ,2014
Midmarket,Germany, Paseo , High ," $1,175.00 ", $10.00 , $15.00 ," $17,625.00 "," $11,750.00 "," $3,231.25 ",10-01-2014, October ,2014
Midmarket,Germany, VTT , High , $492.00 , $250.00 , $15.00 ," $7,380.00 "," $4,920.00 "," $1,353.00 ",07-01-2014, July ,2014
Midmarket,Germany, VTT , High ," $1,175.00 ", $250.00 , $15.00 ," $17,625.00 "," $11,750.00 "," $3,231.25 ",10-01-2014, October ,2014
Enterprise,Germany, VTT , High , $552.00 , $250.00 , $125.00 ," $69,000.00 "," $66,240.00 "," $(7,590.00)",11-01-2014, November ,2014
Government,Mexico, Carretera , Low ," $1,210.00 ", $3.00 , $350.00 ," $423,500.00 "," $314,600.00 "," $104,665.00 ",03-01-2014, March ,2014
Small Business,Mexico, Carretera , Low , $494.00 , $3.00 , $300.00 ," $148,200.00 "," $123,500.00 "," $23,218.00 ",10-01-2013, October ,2013
Government,Mexico, Carretera , Low ," $1,397.00 ", $3.00 , $350.00 ," $488,950.00 "," $363,220.00 "," $120,840.50 ",10-01-2014, October ,2014
Midmarket,Mexico, Montana , Low ," $2,214.00 ", $5.00 , $15.00 ," $33,210.00 "," $22,140.00 "," $10,737.90 ",03-01-2014, March ,2014
Enterprise,Mexico, Paseo , Low ," $1,823.00 ", $10.00 , $125.00 ," $227,875.00 "," $218,760.00 "," $6,836.25 ",07-01-2014, July ,2014
Government,Mexico, Velo , Low , $362.00 , $120.00 , $7.00 ," $2,534.00 "," $1,810.00 ", $698.66 ,05-01-2014, May ,2014
Small Business,Mexico, VTT , Low , $494.00 , $250.00 , $300.00 ," $148,200.00 "," $123,500.00 "," $23,218.00 ",10-01-2013, October ,2013
Government,Mexico, VTT , Low ," $1,397.00 ", $250.00 , $350.00 ," $488,950.00 "," $363,220.00 "," $120,840.50 ",10-01-2014, October ,2014
Channel Partners,Mexico, Montana , Low , $690.00 , $5.00 , $12.00 ," $8,280.00 "," $2,070.00 "," $6,044.40 ",11-01-2014, November ,2014
Enterprise,Mexico, Montana , Low ," $1,660.00 ", $5.00 , $125.00 ," $207,500.00 "," $199,200.00 "," $4,150.00 ",11-01-2013, November ,2013
Enterprise,Mexico, Paseo , Low , $662.00 , $10.00 , $125.00 ," $82,750.00 "," $79,440.00 "," $1,655.00 ",06-01-2014, June ,2014
Enterprise,Mexico, Paseo , Low ," $2,145.00 ", $10.00 , $125.00 ," $268,125.00 "," $257,400.00 "," $5,362.50 ",10-01-2013, October ,2013
Channel Partners,Mexico, Paseo , Low ," $1,084.00 ", $10.00 , $12.00 ," $13,008.00 "," $3,252.00 "," $9,495.84 ",12-01-2014, December ,2014
Enterprise,Mexico, Velo , Low ," $2,145.00 ", $120.00 , $125.00 ," $268,125.00 "," $257,400.00 "," $5,362.50 ",10-01-2013, October ,2013
Government,Mexico, Velo , Low , $544.00 , $120.00 , $20.00 ," $10,880.00 "," $5,440.00 "," $5,222.40 ",12-01-2013, December ,2013
Channel Partners,Mexico, Velo , Low ," $1,084.00 ", $120.00 , $12.00 ," $13,008.00 "," $3,252.00 "," $9,495.84 ",12-01-2014, December ,2014
Enterprise,Mexico, VTT , Low , $662.00 , $250.00 , $125.00 ," $82,750.00 "," $79,440.00 "," $1,655.00 ",06-01-2014, June ,2014
Government,Mexico, VTT , Low ," $1,940.00 ", $250.00 , $350.00 ," $679,000.00 "," $504,400.00 "," $161,020.00 ",12-01-2013, December ,2013
Small Business,Mexico, Amarilla , Low ," $1,101.00 ", $260.00 , $300.00 ," $330,300.00 "," $275,250.00 "," $48,444.00 ",03-01-2014, March ,2014
Channel Partners,Mexico, VTT , Low ," $1,916.00 ", $250.00 , $12.00 ," $22,992.00 "," $5,748.00 "," $16,554.24 ",04-01-2014, April ,2014
Government,Mexico, VTT , Low ," $1,642.00 ", $250.00 , $350.00 ," $574,700.00 "," $426,920.00 "," $130,539.00 ",08-01-2014, August ,2014
Government,Mexico, Paseo , Low ," $1,760.00 ", $10.00 , $7.00 ," $12,320.00 "," $8,800.00 "," $3,150.40 ",09-01-2013, September ,2013
Midmarket,Mexico, Montana , Low ," $2,031.00 ", $5.00 , $15.00 ," $30,465.00 "," $20,310.00 "," $8,936.40 ",10-01-2014, October ,2014
Midmarket,Mexico, Paseo , Low ," $2,031.00 ", $10.00 , $15.00 ," $30,465.00 "," $20,310.00 "," $8,936.40 ",10-01-2014, October ,2014
Midmarket,Mexico, Paseo , Low ," $1,514.00 ", $10.00 , $15.00 ," $22,710.00 "," $15,140.00 "," $6,661.60 ",10-01-2013, October ,2013
Midmarket,Mexico, VTT , Low ," $1,514.00 ", $250.00 , $15.00 ," $22,710.00 "," $15,140.00 "," $6,661.60 ",10-01-2013, October ,2013
Government,Mexico, Amarilla , Low ," $1,865.00 ", $260.00 , $350.00 ," $652,750.00 "," $484,900.00 "," $141,740.00 ",02-01-2014, February ,2014
Government,Mexico, Paseo , Medium ," $2,689.00 ", $10.00 , $7.00 ," $18,823.00 "," $13,445.00 "," $4,436.85 ",10-01-2014, October ,2014
Government,Mexico, VTT , Medium ," $2,689.00 ", $250.00 , $7.00 ," $18,823.00 "," $13,445.00 "," $4,436.85 ",10-01-2014, October ,2014
Government,Mexico, Amarilla , Medium ," $1,683.00 ", $260.00 , $7.00 ," $11,781.00 "," $8,415.00 "," $2,776.95 ",07-01-2014, July ,2014
Channel Partners,Mexico, Amarilla , Medium ," $1,123.00 ", $260.00 , $12.00 ," $13,476.00 "," $3,369.00 "," $9,433.20 ",08-01-2014, August ,2014
Midmarket,Mexico, Carretera , Medium ," $2,791.00 ", $3.00 , $15.00 ," $41,865.00 "," $27,910.00 "," $11,861.75 ",11-01-2014, November ,2014
Government,Mexico, Montana , Medium , $720.00 , $5.00 , $350.00 ," $252,000.00 "," $187,200.00 "," $52,200.00 ",09-01-2013, September ,2013
Small Business,Mexico, Montana , Medium ," $1,100.00 ", $5.00 , $300.00 ," $330,000.00 "," $275,000.00 "," $38,500.00 ",12-01-2013, December ,2013
Small Business,Mexico, Paseo , Medium ," $1,607.00 ", $10.00 , $300.00 ," $482,100.00 "," $401,750.00 "," $56,245.00 ",04-01-2014, April ,2014
Midmarket,Mexico, Velo , Medium ," $2,861.00 ", $120.00 , $15.00 ," $42,915.00 "," $28,610.00 "," $12,159.25 ",01-01-2014, January ,2014
Channel Partners,Mexico, Carretera , Medium , $562.00 , $3.00 , $12.00 ," $6,744.00 "," $1,686.00 "," $4,653.36 ",09-01-2014, September ,2014
Government,Mexico, Montana , Medium , $980.00 , $5.00 , $350.00 ," $343,000.00 "," $254,800.00 "," $67,620.00 ",04-01-2014, April ,2014
Government,Mexico, Velo , Medium ," $1,498.00 ", $120.00 , $7.00 ," $10,486.00 "," $7,490.00 "," $2,366.84 ",06-01-2014, June ,2014
Government,Mexico, VTT , Medium ," $1,498.00 ", $250.00 , $7.00 ," $10,486.00 "," $7,490.00 "," $2,366.84 ",06-01-2014, June ,2014
Government,Mexico, VTT , Medium ," $1,123.00 ", $250.00 , $20.00 ," $22,460.00 "," $11,230.00 "," $9,882.40 ",11-01-2013, November ,2013
Government,Mexico, Amarilla , Medium ," $1,679.00 ", $260.00 , $350.00 ," $587,650.00 "," $436,540.00 "," $115,851.00 ",09-01-2014, September ,2014
Government,Mexico, Velo , Medium ," $1,333.00 ", $120.00 , $7.00 ," $9,331.00 "," $6,665.00 "," $2,106.14 ",11-01-2014, November ,2014
Channel Partners,Mexico, Carretera , Medium , $727.00 , $3.00 , $12.00 ," $8,724.00 "," $2,181.00 "," $5,932.32 ",02-01-2014, February ,2014
Government,Mexico, Carretera , Medium ," $1,834.00 ", $3.00 , $20.00 ," $36,680.00 "," $18,340.00 "," $15,772.40 ",09-01-2013, September ,2013
Channel Partners,Mexico, Montana , Medium ," $2,340.00 ", $5.00 , $12.00 ," $28,080.00 "," $7,020.00 "," $19,094.40 ",01-01-2014, January ,2014
Channel Partners,Mexico, Paseo , Medium ," $2,763.00 ", $10.00 , $12.00 ," $33,156.00 "," $8,289.00 "," $22,546.08 ",11-01-2013, November ,2013
Government,Mexico, Velo , Medium , $609.00 , $120.00 , $20.00 ," $12,180.00 "," $6,090.00 "," $5,237.40 ",08-01-2014, August ,2014
Small Business,Mexico, VTT , Medium ," $2,747.00 ", $250.00 , $300.00 ," $824,100.00 "," $686,750.00 "," $79,663.00 ",02-01-2014, February ,2014
Enterprise,Mexico, Carretera , Medium ," $1,540.00 ", $3.00 , $125.00 ," $192,500.00 "," $184,800.00 "," $(7,700.00)",08-01-2014, August ,2014
Government,Mexico, Carretera , Medium ," $1,362.00 ", $3.00 , $350.00 ," $476,700.00 "," $354,120.00 "," $84,444.00 ",12-01-2014, December ,2014
Enterprise,Mexico, Paseo , Medium ," $1,114.00 ", $10.00 , $125.00 ," $139,250.00 "," $133,680.00 "," $(5,570.00)",03-01-2014, March ,2014
Small Business,Mexico, Paseo , Medium ," $2,460.00 ", $10.00 , $300.00 ," $738,000.00 "," $615,000.00 "," $63,960.00 ",06-01-2014, June ,2014
Government,Mexico, Paseo , Medium ," $2,993.00 ", $10.00 , $20.00 ," $59,860.00 "," $29,930.00 "," $25,141.20 ",09-01-2014, September ,2014
Government,Mexico, Paseo , Medium ," $1,946.00 ", $10.00 , $7.00 ," $13,622.00 "," $9,730.00 "," $2,802.24 ",12-01-2013, December ,2013
Government,Mexico, Paseo , Medium ," $1,362.00 ", $10.00 , $350.00 ," $476,700.00 "," $354,120.00 "," $84,444.00 ",12-01-2014, December ,2014
Small Business,Mexico, Velo , Medium , $635.00 , $120.00 , $300.00 ," $190,500.00 "," $158,750.00 "," $16,510.00 ",12-01-2014, December ,2014
Small Business,Mexico, Amarilla , Medium ," $2,460.00 ", $260.00 , $300.00 ," $738,000.00 "," $615,000.00 "," $63,960.00 ",06-01-2014, June ,2014
Channel Partners,Mexico, Amarilla , Medium ," $1,375.00 ", $260.00 , $12.00 ," $16,500.00 "," $4,125.00 "," $11,055.00 ",12-01-2013, December ,2013
Small Business,Mexico, Amarilla , Medium , $635.00 , $260.00 , $300.00 ," $190,500.00 "," $158,750.00 "," $16,510.00 ",12-01-2014, December ,2014
Channel Partners,Mexico, Carretera , Medium , $367.00 , $3.00 , $12.00 ," $4,404.00 "," $1,101.00 "," $2,906.64 ",10-01-2013, October ,2013
Small Business,Mexico, Paseo , Medium ," $2,565.00 ", $10.00 , $300.00 ," $769,500.00 "," $641,250.00 "," $58,995.00 ",01-01-2014, January ,2014
Government,Mexico, Paseo , Medium ," $2,417.00 ", $10.00 , $350.00 ," $845,950.00 "," $628,420.00 "," $141,394.50 ",01-01-2014, January ,2014
Channel Partners,Mexico, Paseo , Medium , $367.00 , $10.00 , $12.00 ," $4,404.00 "," $1,101.00 "," $2,906.64 ",10-01-2013, October ,2013
Midmarket,Mexico, Velo , Medium , $245.00 , $120.00 , $15.00 ," $3,675.00 "," $2,450.00 ", $894.25 ,05-01-2014, May ,2014
Enterprise,Mexico, Velo , Medium ," $2,110.00 ", $120.00 , $125.00 ," $263,750.00 "," $253,200.00 "," $(13,187.50)",09-01-2014, September ,2014
Enterprise,Mexico, VTT , Medium , $877.00 , $250.00 , $125.00 ," $109,625.00 "," $105,240.00 "," $(5,481.25)",11-01-2014, November ,2014
Government,Mexico, Amarilla , Medium ," $1,694.00 ", $260.00 , $20.00 ," $33,880.00 "," $16,940.00 "," $13,890.80 ",11-01-2014, November ,2014
Government,Mexico, Carretera , Medium , $521.00 , $3.00 , $7.00 ," $3,647.00 "," $2,605.00 ", $713.77 ,12-01-2014, December ,2014
Government,Mexico, Paseo , Medium ," $1,038.00 ", $10.00 , $20.00 ," $20,760.00 "," $10,380.00 "," $8,511.60 ",06-01-2014, June ,2014
Midmarket,Mexico, Velo , Medium ," $2,628.00 ", $120.00 , $15.00 ," $39,420.00 "," $26,280.00 "," $9,592.20 ",04-01-2014, April ,2014
Government,Mexico, VTT , Medium , $521.00 , $250.00 , $7.00 ," $3,647.00 "," $2,605.00 ", $713.77 ,12-01-2014, December ,2014
Government,Mexico, Amarilla , Medium ," $1,038.00 ", $260.00 , $20.00 ," $20,760.00 "," $10,380.00 "," $8,511.60 ",06-01-2014, June ,2014
Small Business,Mexico, Paseo , High , $591.00 , $10.00 , $300.00 ," $177,300.00 "," $147,750.00 "," $11,820.00 ",05-01-2014, May ,2014
Enterprise,Mexico, VTT , High , $341.00 , $250.00 , $125.00 ," $42,625.00 "," $40,920.00 "," $(2,557.50)",05-01-2014, May ,2014
Midmarket,Mexico, VTT , High , $641.00 , $250.00 , $15.00 ," $9,615.00 "," $6,410.00 "," $2,243.50 ",07-01-2014, July ,2014
Small Business,Mexico, VTT , High , $432.00 , $250.00 , $300.00 ," $129,600.00 "," $108,000.00 "," $8,640.00 ",09-01-2014, September ,2014
Government,Mexico, Amarilla , High ," $2,039.00 ", $260.00 , $20.00 ," $40,780.00 "," $20,390.00 "," $16,312.00 ",05-01-2014, May ,2014
Channel Partners,Mexico, VTT , High ," $1,005.00 ", $250.00 , $12.00 ," $12,060.00 "," $3,015.00 "," $7,718.40 ",09-01-2013, September ,2013
Government,Mexico, Carretera , High ," $2,706.00 ", $3.00 , $7.00 ," $18,942.00 "," $13,530.00 "," $3,328.38 ",11-01-2013, November ,2013
Midmarket,Mexico, Montana , High ," $2,157.00 ", $5.00 , $15.00 ," $32,355.00 "," $21,570.00 "," $7,225.95 ",12-01-2014, December ,2014
Government,Mexico, Paseo , High ," $1,122.00 ", $10.00 , $20.00 ," $22,440.00 "," $11,220.00 "," $8,751.60 ",03-01-2014, March ,2014
Midmarket,Mexico, Paseo , High ," $1,984.00 ", $10.00 , $15.00 ," $29,760.00 "," $19,840.00 "," $6,646.40 ",08-01-2014, August ,2014
Midmarket,Mexico, Velo , High , $655.00 , $120.00 , $15.00 ," $9,825.00 "," $6,550.00 "," $2,194.25 ",09-01-2013, September ,2013
Government,Mexico, Velo , High , $344.00 , $120.00 , $350.00 ," $120,400.00 "," $89,440.00 "," $17,716.00 ",10-01-2013, October ,2013
Enterprise,Mexico, VTT , High , $554.00 , $250.00 , $125.00 ," $69,250.00 "," $66,480.00 "," $(4,847.50)",01-01-2014, January ,2014
Government,Mexico, Amarilla , High ," $2,629.00 ", $260.00 , $20.00 ," $52,580.00 "," $26,290.00 "," $20,506.20 ",01-01-2014, January ,2014
Enterprise,Mexico, Amarilla , High , $947.00 , $260.00 , $125.00 ," $118,375.00 "," $113,640.00 "," $(8,286.25)",09-01-2013, September ,2013
Government,Mexico, Amarilla , High , $344.00 , $260.00 , $350.00 ," $120,400.00 "," $89,440.00 "," $17,716.00 ",10-01-2013, October ,2013
Midmarket,Mexico, Amarilla , High ," $2,157.00 ", $260.00 , $15.00 ," $32,355.00 "," $21,570.00 "," $7,225.95 ",12-01-2014, December ,2014
Government,Mexico, Carretera , High , $886.00 , $3.00 , $350.00 ," $310,100.00 "," $230,360.00 "," $42,528.00 ",06-01-2014, June ,2014
Enterprise,Mexico, Carretera , High ," $2,156.00 ", $3.00 , $125.00 ," $269,500.00 "," $258,720.00 "," $(21,560.00)",10-01-2014, October ,2014
Government,Mexico, Montana , High ," $2,420.00 ", $5.00 , $7.00 ," $16,940.00 "," $12,100.00 "," $2,807.20 ",09-01-2014, September ,2014
Government,Mexico, Montana , High ," $1,715.00 ", $5.00 , $20.00 ," $34,300.00 "," $17,150.00 "," $13,034.00 ",10-01-2013, October ,2013
Government,Mexico, Paseo , High , $886.00 , $10.00 , $350.00 ," $310,100.00 "," $230,360.00 "," $42,528.00 ",06-01-2014, June ,2014
Enterprise,Mexico, Paseo , High ," $2,156.00 ", $10.00 , $125.00 ," $269,500.00 "," $258,720.00 "," $(21,560.00)",10-01-2014, October ,2014
Government,Mexico, Paseo , High , $905.00 , $10.00 , $20.00 ," $18,100.00 "," $9,050.00 "," $6,878.00 ",10-01-2014, October ,2014
Government,Mexico, Paseo , High ," $1,715.00 ", $10.00 , $20.00 ," $34,300.00 "," $17,150.00 "," $13,034.00 ",10-01-2013, October ,2013
Small Business,Mexico, Paseo , High ," $2,150.00 ", $10.00 , $300.00 ," $645,000.00 "," $537,500.00 "," $30,100.00 ",11-01-2014, November ,2014
Government,Mexico, Paseo , High ," $1,197.00 ", $10.00 , $350.00 ," $418,950.00 "," $311,220.00 "," $57,456.00 ",11-01-2014, November ,2014
Midmarket,Mexico, Paseo , High , $380.00 , $10.00 , $15.00 ," $5,700.00 "," $3,800.00 "," $1,216.00 ",12-01-2013, December ,2013
Government,Mexico, Paseo , High ," $1,233.00 ", $10.00 , $20.00 ," $24,660.00 "," $12,330.00 "," $9,370.80 ",12-01-2014, December ,2014
Government,Mexico, Velo , High ," $1,395.00 ", $120.00 , $350.00 ," $488,250.00 "," $362,700.00 "," $66,960.00 ",07-01-2014, July ,2014
Government,Mexico, Velo , High , $905.00 , $120.00 , $20.00 ," $18,100.00 "," $9,050.00 "," $6,878.00 ",10-01-2014, October ,2014
Government,Mexico, VTT , High ," $1,233.00 ", $250.00 , $20.00 ," $24,660.00 "," $12,330.00 "," $9,370.80 ",12-01-2014, December ,2014
Channel Partners,Mexico, Montana , High ," $2,661.00 ", $5.00 , $12.00 ," $31,932.00 "," $7,983.00 "," $20,117.16 ",05-01-2014, May ,2014
Channel Partners,Mexico, Montana , High , $604.00 , $5.00 , $12.00 ," $7,248.00 "," $1,812.00 "," $4,493.76 ",06-01-2014, June ,2014
Government,Mexico, Montana , High ," $2,255.00 ", $5.00 , $20.00 ," $45,100.00 "," $22,550.00 "," $16,687.00 ",07-01-2014, July ,2014
Channel Partners,Mexico, Paseo , High , $571.00 , $10.00 , $12.00 ," $6,852.00 "," $1,713.00 "," $4,248.24 ",07-01-2014, July ,2014
Channel Partners,Mexico, Velo , High , $604.00 , $120.00 , $12.00 ," $7,248.00 "," $1,812.00 "," $4,493.76 ",06-01-2014, June ,2014
Channel Partners,Mexico, Velo , High , $410.00 , $120.00 , $12.00 ," $4,920.00 "," $1,230.00 "," $3,050.40 ",10-01-2014, October ,2014
Small Business,Mexico, Velo , High ," $2,605.00 ", $120.00 , $300.00 ," $781,500.00 "," $651,250.00 "," $28,655.00 ",11-01-2013, November ,2013
Channel Partners,Mexico, Amarilla , High , $410.00 , $260.00 , $12.00 ," $4,920.00 "," $1,230.00 "," $3,050.40 ",10-01-2014, October ,2014
Government,Mexico, Carretera , High ," $2,579.00 ", $3.00 , $20.00 ," $51,580.00 "," $25,790.00 "," $18,568.80 ",04-01-2014, April ,2014
Small Business,Mexico, Carretera , High , $801.00 , $3.00 , $300.00 ," $240,300.00 "," $200,250.00 "," $6,408.00 ",07-01-2014, July ,2014
Enterprise,Mexico, Carretera , High ," $2,821.00 ", $3.00 , $125.00 ," $352,625.00 "," $338,520.00 "," $(35,262.50)",12-01-2013, December ,2013
Government,Mexico, Montana , High ," $1,727.00 ", $5.00 , $7.00 ," $12,089.00 "," $8,635.00 "," $1,761.54 ",10-01-2013, October ,2013
Government,Mexico, Paseo , High , $260.00 , $10.00 , $20.00 ," $5,200.00 "," $2,600.00 "," $1,872.00 ",02-01-2014, February ,2014
Enterprise,Mexico, Velo , High ," $1,575.00 ", $120.00 , $125.00 ," $196,875.00 "," $189,000.00 "," $(19,687.50)",02-01-2014, February ,2014
Government,Mexico, VTT , High ," $2,903.00 ", $250.00 , $7.00 ," $20,321.00 "," $14,515.00 "," $2,961.06 ",03-01-2014, March ,2014
Government,Mexico, Amarilla , High ," $1,727.00 ", $260.00 , $7.00 ," $12,089.00 "," $8,635.00 "," $1,761.54 ",10-01-2013, October ,2013
Midmarket,Mexico, Amarilla , High ," $1,870.00 ", $260.00 , $15.00 ," $28,050.00 "," $18,700.00 "," $5,423.00 ",11-01-2013, November ,2013
Small Business,Mexico, Montana , High , $546.00 , $5.00 , $300.00 ," $163,800.00 "," $136,500.00 "," $2,730.00 ",10-01-2014, October ,2014
Government,Mexico, Paseo , High ," $2,535.00 ", $10.00 , $7.00 ," $17,745.00 "," $12,675.00 "," $2,408.25 ",04-01-2014, April ,2014
Government,Mexico, Paseo , High ," $2,851.00 ", $10.00 , $350.00 ," $997,850.00 "," $741,260.00 "," $106,912.50 ",05-01-2014, May ,2014
Government,Mexico, Paseo , High ," $2,151.00 ", $10.00 , $350.00 ," $752,850.00 "," $559,260.00 "," $80,662.50 ",11-01-2013, November ,2013
Channel Partners,Mexico, Velo , High , $500.00 , $120.00 , $12.00 ," $6,000.00 "," $1,500.00 "," $3,600.00 ",03-01-2014, March ,2014
Small Business,Mexico, Amarilla , High , $546.00 , $260.00 , $300.00 ," $163,800.00 "," $136,500.00 "," $2,730.00 ",10-01-2014, October ,2014
Government,Mexico, Montana , High ," $1,368.00 ", $5.00 , $7.00 ," $9,576.00 "," $6,840.00 "," $1,299.60 ",02-01-2014, February ,2014
Channel Partners,USA, Carretera , Low ," $1,858.00 ", $3.00 , $12.00 ," $22,296.00 "," $5,574.00 "," $16,499.04 ",02-01-2014, February ,2014
Government,USA, Carretera , Low ," $2,529.00 ", $3.00 , $7.00 ," $17,703.00 "," $12,645.00 "," $4,880.97 ",07-01-2014, July ,2014
Enterprise,USA, Carretera , Low , $330.00 , $3.00 , $125.00 ," $41,250.00 "," $39,600.00 "," $1,237.50 ",09-01-2013, September ,2013
Small Business,USA, Montana , Low ," $2,301.00 ", $5.00 , $300.00 ," $690,300.00 "," $575,250.00 "," $108,147.00 ",04-01-2014, April ,2014
Small Business,USA, Montana , Low ," $2,498.00 ", $5.00 , $300.00 ," $749,400.00 "," $624,500.00 "," $117,406.00 ",09-01-2013, September ,2013
Enterprise,USA, Montana , Low , $663.00 , $5.00 , $125.00 ," $82,875.00 "," $79,560.00 "," $2,486.25 ",10-01-2013, October ,2013
Midmarket,USA, Paseo , Low ," $1,514.00 ", $10.00 , $15.00 ," $22,710.00 "," $15,140.00 "," $7,342.90 ",02-01-2014, February ,2014
Government,USA, Paseo , Low ," $4,492.50 ", $10.00 , $7.00 ," $31,447.50 "," $22,462.50 "," $8,670.52 ",04-01-2014, April ,2014
Enterprise,USA, Paseo , Low , $727.00 , $10.00 , $125.00 ," $90,875.00 "," $87,240.00 "," $2,726.25 ",06-01-2014, June ,2014
Small Business,USA, Paseo , Low ," $2,905.00 ", $10.00 , $300.00 ," $871,500.00 "," $726,250.00 "," $136,535.00 ",11-01-2014, November ,2014
Enterprise,USA, Velo , Low , $663.00 , $120.00 , $125.00 ," $82,875.00 "," $79,560.00 "," $2,486.25 ",10-01-2013, October ,2013
Government,USA, Montana , Low ," $1,566.00 ", $5.00 , $20.00 ," $31,320.00 "," $15,660.00 "," $15,033.60 ",10-01-2014, October ,2014
Channel Partners,USA, Paseo , Low ," $1,142.00 ", $10.00 , $12.00 ," $13,704.00 "," $3,426.00 "," $10,003.92 ",06-01-2014, June ,2014
Midmarket,USA, Paseo , Low ," $1,925.00 ", $10.00 , $15.00 ," $28,875.00 "," $19,250.00 "," $9,047.50 ",12-01-2013, December ,2013
Government,USA, Paseo , Low ," $2,013.00 ", $10.00 , $7.00 ," $14,091.00 "," $10,065.00 "," $3,744.18 ",12-01-2013, December ,2013
Government,USA, Velo , Low ," $1,566.00 ", $120.00 , $20.00 ," $31,320.00 "," $15,660.00 "," $15,033.60 ",10-01-2014, October ,2014
Government,USA, VTT , Low , $266.00 , $250.00 , $350.00 ," $93,100.00 "," $69,160.00 "," $22,078.00 ",12-01-2013, December ,2013
Government,USA, Amarilla , Low ," $1,236.00 ", $260.00 , $20.00 ," $24,720.00 "," $12,360.00 "," $11,865.60 ",11-01-2014, November ,2014
Channel Partners,USA, Carretera , Low ," $1,947.00 ", $3.00 , $12.00 ," $23,364.00 "," $5,841.00 "," $16,822.08 ",09-01-2014, September ,2014
Channel Partners,USA, Paseo , Low ," $1,369.50 ", $10.00 , $12.00 ," $16,434.00 "," $4,108.50 "," $11,832.48 ",07-01-2014, July ,2014
Small Business,USA, VTT , Low ," $2,844.00 ", $250.00 , $300.00 ," $853,200.00 "," $711,000.00 "," $116,604.00 ",02-01-2014, February ,2014
Government,USA, Velo , Low , $736.00 , $120.00 , $20.00 ," $14,720.00 "," $7,360.00 "," $6,771.20 ",09-01-2013, September ,2013
Government,USA, Carretera , Low , $274.00 , $3.00 , $350.00 ," $95,900.00 "," $71,240.00 "," $20,824.00 ",12-01-2014, December ,2014
